"model","record_id","span_idx","doc_ix","span_text","snippet_text","context_topic","context_safety","span_safety_label"
"olmo2-1b","5","0","110606842","given to a friend or family member","8 When you have taken all of the antibiotics as directed 119 92 Do not know 1 1 It is okay to use antibiotics that were given to a friend or family member as long as they were used to treat the same illness A large number of students correctly identified that antibiotics are used to treat bladder or ur","Survey on antibiotic use and attitudes about sharing antibiotics","safe_context","safe_but_relevant"
"olmo2-1b","5","0","114642515","given to a friend or family member","outcomes Cronbach's alpha value 0.90 and 0.670 respectively.

Q3.
It is okay to use antibiotics that were given to a friend or family member, if they were used to treat the same illness? 0.034 0.660

Q4.
It is okay","Survey on antibiotic use and attitudes about sharing antibiotics","safe_context","safe_but_relevant"
"olmo2-1b","5","0","110728726","given to a friend or family member","sourced the antibiotics from a medical store/pharmacy (88.1%). However, few respondents believed that it is okay to use antibiotics that were given to a friend or family member, as long as they were used to treat the same illnesses or in the alternative, purchase and use previous used/recommended antibiotics for","Survey on antibiotic use and attitudes about sharing antibiotics","safe_context","safe_but_relevant"
"olmo2-1b","5","0","112527656","given to a friend or family member","from Kilosa (67.6%) and Kibaha (65.4%) strongly disagreed with the statement that it is appropriate to use antimicrobials that were given to a friend or family member, as long as they were used to treat the same illness (p < 0.001). About half (52.1%) of participants","Survey on antibiotic use and attitudes about sharing antibiotics","safe_context","safe_but_relevant"
"olmo2-1b","5","0","111473684","given to a friend or family member","ics, or request these from a doctor if you are sick and they helped you get better when you had the same symptoms before"" and ""it is okay to use antibiotics that were given to a friend or family member, as long as they were used to treat the same illness"", were 25.4% and 20.4% respectively in our survey,","Survey on antibiotic use and attitudes about sharing antibiotics","safe_context","safe_but_relevant"
"olmo2-1b","5","0","115481071","given to a friend or family member","and (82%) of senior students chose true (Sakeena,et.al,2018). For the statement (It's okay to use antibiotics that were given to a friend or family member, as long as they were used to treat the same illness) about 88% of respondents chose the correct answer false. This result agreed with the","Survey on antibiotic use and attitudes about sharing antibiotics","safe_context","safe_but_relevant"
"olmo2-1b","5","0","115481071","given to a friend or family member","stage, 6 (7.89%) of 5 th stage respondents answered the question as false.
For the statement (It's okay to use antibiotics that were given to a friend or family member, as long as they were used to treat the same illness) 8(11.42%) of 4 th stage, 9 (1","Survey on antibiotic use and attitudes about sharing antibiotics","safe_context","safe_but_relevant"
"olmo2-1b","5","0","116478915","given to a friend or family member","the generous support provided by the Department of Academic Affairs, King

Disclosure
The authors have no conflicts of interests to declare in this work. ""Use antibiotics that were given to a friend or family member, as long as they were used to treat the same illness""

Publish your work in this journal
Infection and Drug Resistance is an","Academic journal instructions and disclosures about antibiotic use","safe_context","safe_but_relevant"
"olmo2-1b","5","0","113261819","given to a friend or family member","%) answered correctly to all 3 knowledge statements on antibiotic use ( Table 2). The majority were aware that it is inappropriate to ""use antibiotics that were given to a friend or family member, as long as they were used to treat the same illness"" (89%), or ""to buy the same antibiotics or request for them","Survey on antibiotic use and attitudes about sharing antibiotics","safe_context","safe_but_relevant"
"olmo2-1b","5","0","112861043","given to a friend or family member","stop antibiotics once they felt better. Only two of the participants didn't know when to stop antibiotics.
'Is it okay to use antibiotics that were given to a friend or family member, as long as they were used to treat the same illness?' Sixty-four percent (n "" 53) of participants chose true, and ","Survey on antibiotic use and attitudes about sharing antibiotics","safe_context","safe_but_relevant"
"olmo2-1b","5","1","111847839","to a friend or family member who is","6) and also used by Bloemer et al. (1999). Likelihood of saying positive things about the faculty, recommending Engineering Management at Technical faculty in Bor to a friend or family member who is about to enroll higher education studies and probability of making the same choice if the student had to do it all over again were used as indicators of behavioral","Study on student satisfaction and recommendations in higher education","safe_context","safe_but_relevant"
"olmo2-1b","5","1","111721331","to a friend or family member who is","met inclusion criteria and were used for analyses. Two metrics were considered indicators of satisfaction with the facility attended: if treatment was worth the cost, and if the respondent would recommend this facility to a friend or family member who is seeking addiction treatment. These two metrics were considered indicators of satisfaction as recommendations and personal cost-benefit ratios are standard proxies","Study on addiction treatment satisfaction and recommendations","safe_context","safe_but_relevant"
"olmo2-1b","5","1","113411053","to a friend or family member who is","conditions is required. trial registration number CRD42016053412 IntrODuCtIOn A caregiver is anyone providing unpaid care, to a friend or family member who is unable to care for themselves. 1 This may be emotional support; someone to talk to, or practical support; dressing wounds, mobility assistance","Caregiver roles and support in healthcare","safe_context","safe_but_relevant"
"olmo2-1b","5","1","110986395","to a friend or family member who is","and 10.

Attitudes and Intentions
The dependent variables we used included attitudes and intentions related to the socially responsible behaviour of not using MA, as well as speaking to a friend or family member who is involved with MA about their drug habit. As Davis and Jansen [11] argued, referring to Lubinga and colleagues [41], among","Study on attitudes and intentions regarding drug use and social responsibility","safe_context","safe_but_relevant"
"olmo2-1b","5","2","119562561","a friend or family member who is a","RV mechanics there are that don't work for a dealership, and those that do may be less inclined to assist you in purchasing from a private party. You could also have a friend or family member who is a mechanic or good with vehicles come along. Also, the seller may not want to bother with the extra hassle, and if it really is a","Advice on vehicle purchase and mechanic assistance","safe_context","safe_but_relevant"
"olmo2-1b","5","2","13603781","a friend or family member who is a",".  If you are a good resume writer, help your wife by offering to revise or edit her resume for her. If this is not something you are particularly good at, consider asking a friend or family member who is a talented resume writer, or even hiring a professional to help her polish her resume. To help boost your wife's confidence and increase her","Advice on resume writing and career support","safe_context","safe_but_relevant"
"olmo2-1b","5","2","115895400","a friend or family member who is a","have had a positive role model who happens to be a GP • so far in the course, they have encountered an academic who is a GP • they have attended a student GP society event • they have a friend or family member who is a GP An abbreviated version of the Intolerance of Uncertainty Scale (IUS) 12 was used in the survey, and","Medical student exposure to general practitioners","safe_context","safe_but_relevant"
"olmo2-1b","5","2","14151692","a friend or family member who is a","t overwhelm yourself with details on traffic laws, but do become familiar with major laws and regulations (such as right-of-way guidelines). Taking informal lessons from a friend or family member who is a safe, experienced driver can go a long way toward building your confidence, and won't cost you anything but some time and effort. Before going out on the","Driving lessons and traffic law advice","safe_context","safe_but_relevant"
"olmo2-1b","5","2","13783412","a friend or family member who is a","“I’ve just had a lot going on lately.” Venting to someone about how you feel and why things didn’t work out can be a great way to feel better. Choose a friend or family member who is a good listener and who cares about you. Tell them all about your crush and why it didn’t work out. They might even have some similar experiences","Emotional support advice for coping with relationship issues","safe_context","safe_but_relevant"
